10	300
Abel_Pacheco	Abel_Pacheco_0001	Abel_Pacheco_0004
Akhmed_Zakayev	Akhmed_Zakayev_0001	Akhmed_Zakayev_0003
Akhmed_Zakayev	Akhmed_Zakayev_0002	Akhmed_Zakayev_0003
Amber_Tamblyn	Amber_Tamblyn_0001	Amber_Tamblyn_0002
Anders_Fogh_Rasmussen	Anders_Fogh_Rasmussen_0001	Anders_Fogh_Rasmussen_0003
Anders_Fogh_Rasmussen	Anders_Fogh_Rasmussen_0001	Anders_Fogh_Rasmussen_0004
Angela_Bassett	Angela_Bassett_0001	Angela_Bassett_0005
Angela_Bassett	Angela_Bassett_0002	Angela_Bassett_0005
Angela_Bassett	Angela_Bassett_0003	Angela_Bassett_0004
Ann_Veneman	Ann_Veneman_0003	Ann_Veneman_0005
Ann_Veneman	Ann_Veneman_0006	Ann_Veneman_0010
Ann_Veneman	Ann_Veneman_0010	Ann_Veneman_0011
Anthony_Fauci	Anthony_Fauci_0001	Anthony_Fauci_0002
Antony_Leung	Antony_Leung_0001	Antony_Leung_0002
Antony_Leung	Antony_Leung_0002	Antony_Leung_0003
Anwar_Ibrahim	Anwar_Ibrahim_0001	Anwar_Ibrahim_0002
Augusto_Pinochet	Augusto_Pinochet_0001	Augusto_Pinochet_0002
Barbara_Brezigar	Barbara_Brezigar_0001	Barbara_Brezigar_0002
Benjamin_Netanyahu	Benjamin_Netanyahu_0001	Benjamin_Netanyahu_0004
Benjamin_Netanyahu	Benjamin_Netanyahu_0004	Benjamin_Netanyahu_0005
Bernard_Law	Bernard_Law_0002	Bernard_Law_0003
Bernard_Law	Bernard_Law_0003	Bernard_Law_0004
Bertrand_Bonello	Bertrand_Bonello_0001	Bertrand_Bonello_0002
Bill_Frist	Bill_Frist_0002	Bill_Frist_0009
Bill_Frist	Bill_Frist_0004	Bill_Frist_0005
Bob_Graham	Bob_Graham_0002	Bob_Graham_0004
Bob_Graham	Bob_Graham_0003	Bob_Graham_0006
Bob_Graham	Bob_Graham_0004	Bob_Graham_0006
Bob_Graham	Bob_Graham_0005	Bob_Graham_0006
Boris_Becker	Boris_Becker_0002	Boris_Becker_0006
Brad_Johnson	Brad_Johnson_0001	Brad_Johnson_0003
Brad_Johnson	Brad_Johnson_0002	Brad_Johnson_0003
Brad_Johnson	Brad_Johnson_0002	Brad_Johnson_0004
Brian_Griese	Brian_Griese_0001	Brian_Griese_0002
Candice_Bergen	Candice_Bergen_0001	Candice_Bergen_0002
Candice_Bergen	Candice_Bergen_0002	Candice_Bergen_0003
Carla_Myers	Carla_Myers_0001	Carla_Myers_0002
